FranchiseeName,FranchiseeID,StoreID,StoreName
Lona Smallman,2363,104864,104864 - Susan
Adolphus Rustich,2062,104863,104863 - Magdeline
Artemis Duncombe,2322,104862,104862 - Moulton
Wilmette Moen,2279,104861,104861 - Eggendart
Artemis Duncombe,2322,104860,104860 - Packers
Sheila Cockings,2122,104859,104859 - Golf View
Alister Barrick,2526,104858,104858 - Lerdahl
Calypso Colum,2558,104857,104857 - Dwight
Artemis Duncombe,2322,104856,104856 - Judy
Yasmeen Woolard,2380,104855,104855 - Ruskin
Lona Smallman,2363,104854,104854 - Bay
Ulrick Rolf,2315,104853,104853 - North
Ray Siward,2536,104852,104852 - Porter
Bari Leavesley,2181,104851,104851 - Wayridge
Giustino Bour,2552,104850,104850 - East
Giustino Bour,2552,104849,104849 - Bartelt
Bari Leavesley,2181,104848,104848 - Caliangt
Giustino Bour,2552,104847,104847 - Upham
Ottilie Matteini,2307,104846,104846 - Gina
Giustino Bour,2552,104845,104845 - Gale
Aundrea Gaiter,2573,104844,104844 - Harper
Ray Siward,2536,104843,104843 - Coolidge
Aundrea Gaiter,2573,104842,104842 - Parkside
Willyt Beazley,2099,104841,104841 - Sommers
Giacobo Gillbanks,2571,104840,104840 - Stone Corner
Nanni Hassin,2108,104839,104839 - Mifflin
Willyt Beazley,2099,104838,104838 - Oakridge
Aylmar Ianne,2188,104837,104837 - Scott
Nanni Hassin,2108,104836,104836 - Canary
Jeffry Chitham,2020,104835,104835 - Nevada
Aylmar Ianne,2188,104834,104834 - Summit
Aylmar Ianne,2188,104833,104833 - Shasta
Nanni Hassin,2108,104832,104832 - Buell
Aylmar Ianne,2188,104831,104831 - Cardinal
Willyt Beazley,2099,104830,104830 - Bonner
Aylmar Ianne,2188,104829,104829 - Mosinee
Aylmar Ianne,2188,104828,104828 - Packers
Willyt Beazley,2099,104827,104827 - Montana
Jeffry Chitham,2020,104826,104826 - Pierstorff
Jeffry Chitham,2020,104825,104825 - Anzinger
Willyt Beazley,2099,104824,104824 - 2nd
Willyt Beazley,2099,104823,104823 - Bluestem
Aylmar Ianne,2188,104822,104822 - Express
Jeffry Chitham,2020,104821,104821 - Ramsey
Harrison Hoolaghan,2278,104820,104820 - Anderson
Cherilyn Noar,2333,104819,104819 - Logan
Jaime Hrachovec,2019,104818,104818 - Sauthoff
Batholomew Scurfield,2074,104817,104817 - Barnett
Kelsey Koppelmann,2586,104816,104816 - Hoard
Dani Bax,2114,104815,104815 - Crowley
Kelsey Koppelmann,2586,104814,104814 - Sommers
Dani Bax,2114,104813,104813 - Summer Ridge
Yanaton Yegorkov,2401,104812,104812 - Warrior
Jaime Hrachovec,2019,104811,104811 - Drewry
Dale Kubista,2123,104810,104810 - Hazelcrest
Sutherlan Nobes,2308,104809,104809 - Morrow
Sutherlan Nobes,2308,104808,104808 - Southridge
Dani Bax,2114,104807,104807 - Grim
Ferdy Saint,2518,104806,104806 - Bunting
Fabio Godin,2694,104805,104805 - Anzinger
Rick Gierhard,2559,104804,104804 - Green Ridge
Dani Bax,2114,104803,104803 - Jackson
Britney Rudd,2377,104802,104802 - Duke
Winnifred O'Crigan,2579,104801,104801 - Sutherland
Alick Cobbe,2172,104800,104800 - Holmberg
Moina Czyz,2336,104799,104799 - Debs
Meade Trayford,2304,104798,104798 - Esker
Harrison Hoolaghan,2278,104797,104797 - Northwestern
Batholomew Scurfield,2074,104796,104796 - Swallow
Yanaton Yegorkov,2401,104795,104795 - Corben
Alick Cobbe,2172,104794,104794 - Prentice
Fabio Godin,2694,104793,104793 - Sutteridge
Carly Randleson,2381,104792,104792 - Jackson
Jaime Hrachovec,2019,104791,104791 - Cambridge
Fabio Godin,2694,104790,104790 - Stang
Nowell Everill,2118,104789,104789 - Ronald Regan
Ferdy Saint,2518,104788,104788 - Ridge Oak
Cully Buttery,2083,104787,104787 - North
Harrison Hoolaghan,2278,104786,104786 - Norway Maple
Kelsey Koppelmann,2586,104785,104785 - Brown
Ferdy Saint,2518,104784,104784 - 2nd
Sascha Chesser,2060,104783,104783 - Bay
Winnifred O'Crigan,2579,104782,104782 - Brickson Park
Esta Worsham,2541,104781,104781 - Dunning
Batholomew Scurfield,2074,104780,104780 - Calypso
Jaime Hrachovec,2019,104779,104779 - Del Sol
Dyna Guswell,2550,104778,104778 - John Wall
Yanaton Yegorkov,2401,104777,104777 - Linden
Jaime Hrachovec,2019,104776,104776 - Dayton
Esta Worsham,2541,104775,104775 - Ridge Oak
Dale Kubista,2123,104774,104774 - 5th
Delora Teresia,2163,104773,104773 - Monument
Nowell Everill,2118,104772,104772 - Kedzie
Dione Gorvin,2192,104771,104771 - Mendota
Esta Worsham,2541,104770,104770 - Grasskamp
Winnah Stobo,2213,104769,104769 - 7th
Dione Gorvin,2192,104768,104768 - Jana
Nowell Everill,2118,104767,104767 - Blaine
Dyna Guswell,2550,104766,104766 - Division
Kelsey Koppelmann,2586,104765,104765 - Drewry
Farrah Mylchreest,2623,104764,104764 - Chinook
Kristyn Walewicz,2295,104763,104763 - Merrick
Britney Rudd,2377,104762,104762 - Warrior
Delainey Kanter,2294,104761,104761 - Clove
Winnah Stobo,2213,104760,104760 - Clyde Gallagher
Cully Buttery,2083,104759,104759 - Carioca
Jaime Hrachovec,2019,104758,104758 - Northwestern
Unknown #2021,2021,104758,104758 - Northwestern
Fabio Godin,2694,104757,104757 - Sherman
Dani Bax,2114,104756,104756 - Sunbrook
Esta Worsham,2541,104755,104755 - Westridge
Dale Kubista,2123,104754,104754 - Kings
Nowell Everill,2118,104753,104753 - Mockingbird
Morly Foan,2489,104752,104752 - Evergreen
Cherilyn Noar,2333,104751,104751 - Pankratz
Windy Duggleby,2504,104750,104750 - Lakewood
Sutherlan Nobes,2308,104749,104749 - Bartelt
Kristyn Walewicz,2295,104748,104748 - Barnett
Norene Vasenin,2488,104747,104747 - Badeau
Cherilyn Noar,2333,104746,104746 - Buell
Cherilyn Noar,2333,104745,104745 - John Wall
Gertrud Risebarer,2335,104744,104744 - Mallard
Nanice Langhorne,2046,104743,104743 - Pine View
Carly Randleson,2381,104742,104742 - Cherokee
Moina Czyz,2336,104741,104741 - Duke
Dani Bax,2114,104740,104740 - Pankratz
Lannie Volks,2182,104739,104739 - Loomis
Nowell Everill,2118,104738,104738 - Charing Cross
Britney Rudd,2377,104737,104737 - Harbort
Vi Brearty,2199,104736,104736 - Blackbird
Carly Randleson,2381,104735,104735 - Dapin
Lurleen Kimbling,2032,104734,104734 - Columbus
Cherilyn Noar,2333,104733,104733 - Cambridge
Porter Rein,2646,104732,104732 - Ridgeway
Cinda Zumbusch,2497,104731,104731 - Vera
Porter Rein,2646,104730,104730 - Scoville
Ferdy Saint,2518,104729,104729 - Hintze
Dale Kubista,2123,104728,104728 - Union
Denise Murtell,2103,104727,104727 - Toban
Windy Duggleby,2504,104726,104726 - Sunbrook
Britney Rudd,2377,104725,104725 - Summerview
Porter Rein,2646,104724,104724 - 4th
Kelsey Koppelmann,2586,104723,104723 - Wayridge
Nowell Everill,2118,104722,104722 - Clarendon
Gertrud Risebarer,2335,104721,104721 - Mitchell
Nanice Langhorne,2046,104720,104720 - Graceland
Lurleen Kimbling,2032,104719,104719 - Granby
Yanaton Yegorkov,2401,104718,104718 - Old Shore
Britney Rudd,2377,104717,104717 - Old Gate
Farrah Mylchreest,2623,104716,104716 - 6th
Carolynn Zannuto,2482,104715,104715 - Independence
Vi Brearty,2199,104714,104714 - Merrick
Brier Clancy,2686,104714,104714 - Merrick
Sutherlan Nobes,2308,104713,104713 - Magdeline
Winnah Stobo,2213,104712,104712 - Mayfield
Krystal McKeevers,2645,104711,104711 - Everett
Porter Rein,2646,104710,104710 - Jackson
Dione Gorvin,2192,104709,104709 - Grasskamp
Nowell Everill,2118,104708,104708 - Veith
Gertrud Risebarer,2335,104707,104707 - Mcbride
Carolynn Zannuto,2482,104706,104706 - Cambridge
Moina Czyz,2336,104705,104705 - Talisman
Kristyn Walewicz,2295,104704,104704 - Ridge Oak
Carolynn Zannuto,2482,104703,104703 - Eastwood
Norene Vasenin,2488,104702,104702 - Buena Vista
Dyna Guswell,2550,104701,104701 - Dexter
Maurene Lamb-shine,2042,104700,104700 - Prentice
Winnifred O'Crigan,2579,104699,104699 - Corben
Kory Wankling,2342,104698,104698 - Milwaukee
Harrison Hoolaghan,2278,104697,104697 - Arapahoe
Kory Wankling,2342,104696,104696 - Chive
Windy Duggleby,2504,104695,104695 - Fulton
Fabio Godin,2694,104694,104694 - Lien
Baxie Luby,2173,104693,104693 - Sunnyside
Winnifred O'Crigan,2579,104692,104692 - John Wall
Porter Rein,2646,104691,104691 - Veith
Kristyn Walewicz,2295,104690,104690 - Warrior
Kristyn Walewicz,2295,104689,104689 - Elmside
Lurleen Kimbling,2032,104688,104688 - Debs
Cyndia Cotman,2471,104687,104687 - Anzinger
Esta Worsham,2541,104686,104686 - Ronald Regan
Dale Kubista,2123,104685,104685 - Hovde
Carly Randleson,2381,104684,104684 - Walton
Carolynn Zannuto,2482,104683,104683 - Quincy
Sutherlan Nobes,2308,104682,104682 - Bluejay
Kelsey Koppelmann,2586,104681,104681 - Troy
Esta Worsham,2541,104680,104680 - Menomonie
Dione Gorvin,2192,104679,104679 - Crescent Oaks
Brett Yukhnini,2310,104678,104678 - Hallows
Lannie Volks,2182,104677,104677 - Duke
Alick Cobbe,2172,104676,104676 - Monica
Nowell Everill,2118,104675,104675 - Ridgeway
Ferdy Saint,2518,104674,104674 - Gulseth
Kristyn Walewicz,2295,104673,104673 - Eastlawn
Meade Trayford,2304,104672,104672 - Michigan
Harrison Hoolaghan,2278,104671,104671 - Manufacturers
Cherilyn Noar,2333,104670,104670 - Lindbergh
Windy Duggleby,2504,104669,104669 - Starling
Dani Bax,2114,104668,104668 - School
Delainey Kanter,2294,104667,104667 - Aberg
Porter Rein,2646,104666,104666 - Northfield
Cherilyn Noar,2333,104665,104665 - Packers
Sutherlan Nobes,2308,104664,104664 - Columbus
Washington Ambler,2324,104663,104663 - East
Jaime Hrachovec,2019,104662,104662 - Blackbird
Jaime Hrachovec,2019,104661,104661 - Maple
Shandie Sedgemore,2218,104660,104660 - Dunning
Kory Wankling,2342,104659,104659 - Hintze
Kristyn Walewicz,2295,104658,104658 - International
Dyna Guswell,2550,104657,104657 - Oxford
Avigdor Bahde,2007,104656,104656 - Mallory
Dale Kubista,2123,104655,104655 - Hollow Ridge
Jaime Hrachovec,2019,104654,104654 - Fisk
Dyna Guswell,2550,104653,104653 - Cordelia
Ferdy Saint,2518,104652,104652 - Cambridge
Lannie Volks,2182,104651,104651 - Sachs
Dione Gorvin,2192,104650,104650 - Briar Crest
Kristyn Walewicz,2295,104649,104649 - Miller
Ennis Plowes,2301,104648,104648 - Debra
Kristyn Walewicz,2295,104647,104647 - Independence
Sutherlan Nobes,2308,104646,104646 - Hoepker
Dell Borton,2695,104646,104646 - Hoepker
Morly Foan,2489,104645,104645 - Forest Run
Maurene Lamb-shine,2042,104644,104644 - Miller
Maurene Lamb-shine,2042,104643,104643 - Meadow Vale
Nanice Langhorne,2046,104642,104642 - Prairieview
Bret Seeking,2117,104641,104641 - Iowa
Meade Trayford,2304,104640,104640 - Fisk
Eleonora Evers,2095,104639,104639 - Melby
Nowell Everill,2118,104638,104638 - Nelson
Renate Murrum,2221,104637,104637 - Fieldstone
Cinda Zumbusch,2497,104636,104636 - Merchant
Kristyn Walewicz,2295,104635,104635 - Larry
Nanice Langhorne,2046,104634,104634 - Raven
Jaime Hrachovec,2019,104633,104633 - Chinook
Farrah Mylchreest,2623,104632,104632 - Dennis
Nowell Everill,2118,104631,104631 - Northridge
Carolynn Zannuto,2482,104630,104630 - Starling
Ave Luc,2206,104629,104629 - Eagan
Porter Rein,2646,104628,104628 - Brentwood
Jaime Hrachovec,2019,104627,104627 - Red Cloud
Kristyn Walewicz,2295,104626,104626 - John Wall
Lannie Volks,2182,104625,104625 - Sunnyside
Lannie Volks,2182,104624,104624 - Crescent Oaks
Dale Kubista,2123,104623,104623 - Arapahoe
Norene Vasenin,2488,104622,104622 - Garrison
Kelsey Koppelmann,2586,104621,104621 - Kinsman
Esta Worsham,2541,104620,104620 - Dawn
Dione Gorvin,2192,104620,104620 - Dawn
Maurene Lamb-shine,2042,104619,104619 - Truax
Delainey Kanter,2294,104618,104618 - South
Avigdor Bahde,2007,104617,104617 - Cambridge
Nowell Everill,2118,104616,104616 - International
Sutherlan Nobes,2308,104615,104615 - Warrior
Lannie Volks,2182,104614,104614 - Alpine
Peder Dabinett,2650,104613,104613 - Hallows
Eran Cutmere,2605,104612,104612 - Oxford
Esta Worsham,2541,104611,104611 - Fairview
Baxie Luby,2173,104610,104610 - Hanson
Nowell Everill,2118,104609,104609 - Dakota
Farrah Mylchreest,2623,104608,104608 - Mayfield
Sutherlan Nobes,2308,104607,104607 - Mifflin
Kristyn Walewicz,2295,104606,104606 - Truax
Sascha Chesser,2060,104605,104605 - Kedzie
Kelsey Koppelmann,2586,104604,104604 - Londonderry
Carolynn Zannuto,2482,104603,104603 - Bartillon
Kelsey Koppelmann,2586,104602,104602 - Bowman
Bret Seeking,2117,104601,104601 - Dapin
Bret Seeking,2117,104600,104600 - Forest Dale
Peder Dabinett,2650,104599,104599 - Upham
Jaime Hrachovec,2019,104598,104598 - Pepper Wood
Bret Seeking,2117,104597,104597 - Cottonwood
Delora Teresia,2163,104596,104596 - Milwaukee
Morly Foan,2489,104595,104595 - Fuller
Meade Trayford,2304,104594,104594 - Florence
Sutherlan Nobes,2308,104593,104593 - Loomis
Kristyn Walewicz,2295,104592,104592 - Porter
Cinda Zumbusch,2497,104591,104591 - Bartelt
Kristyn Walewicz,2295,104590,104590 - Bunting
Nowell Everill,2118,104589,104589 - Nelson
Windy Duggleby,2504,104588,104588 - Summit
Lannie Volks,2182,104587,104587 - Bonner
Gertrud Risebarer,2335,104586,104586 - Kennedy
Batholomew Scurfield,2074,104585,104585 - Barby
Dyna Guswell,2550,104584,104584 - Aberg
Porter Rein,2646,104583,104583 - Erie
Batholomew Scurfield,2074,104582,104582 - Mariners Cove
Batholomew Scurfield,2074,104581,104581 - Clyde Gallagher
Bret Seeking,2117,104580,104580 - Sutherland
Farrah Mylchreest,2623,104579,104579 - Melvin
Brett Yukhnini,2310,104578,104578 - Loftsgordon
Maurene Lamb-shine,2042,104577,104577 - Lawn
Kristyn Walewicz,2295,104576,104576 - Laurel
Maurene Lamb-shine,2042,104575,104575 - East
Jaime Hrachovec,2019,104574,104574 - Portage
Carolynn Zannuto,2482,104573,104573 - Pepper Wood
Sutherlan Nobes,2308,104572,104572 - Lindbergh
Jae Mailey,2201,104571,104571 - Orin
Jae Mailey,2201,104570,104570 - Fair Oaks
Jae Mailey,2201,104569,104569 - Talmadge
Alexio Pearlman,2293,104568,104568 - Fuller
Jae Mailey,2201,104567,104567 - Shopko
Alexio Pearlman,2293,104566,104566 - Washington
Alexio Pearlman,2293,104565,104565 - Graedel
Riordan Foucard,2177,104564,104564 - Dorton
Alexio Pearlman,2293,104563,104563 - Kensington
Alexio Pearlman,2293,104562,104562 - Moulton
Gianina Ellard,2228,104561,104561 - Westport
Jae Mailey,2201,104560,104560 - Dottie
Alexio Pearlman,2293,104559,104559 - Birchwood
Jae Mailey,2201,104558,104558 - Menomonie
Valentino Crosbie,2432,104557,104557 - Oxford
Riordan Foucard,2177,104556,104556 - Sullivan
Gianina Ellard,2228,104555,104555 - Golf View
Jae Mailey,2201,104554,104554 - Lakewood Gardens
Alexio Pearlman,2293,104553,104553 - Commercial
Clarabelle Kubec,2067,104552,104552 - Lien
Alexio Pearlman,2293,104551,104551 - Vidon
Gianina Ellard,2228,104550,104550 - Lawn
Alexio Pearlman,2293,104549,104549 - Bellgrove
Jae Mailey,2201,104548,104548 - Rigney
Kristel Grandison,2502,104547,104547 - Del Sol
Erena Eastgate,2547,104546,104546 - Westend
Gerrie Domonkos,2642,104545,104545 - Del Sol
Gerrie Domonkos,2642,104544,104544 - Scott
Erena Eastgate,2547,104544,104544 - Scott
Marco Jozwicki,2425,104543,104543 - Columbus
Erena Eastgate,2547,104542,104542 - Shasta
Gerrie Domonkos,2642,104542,104542 - Shasta
Erena Eastgate,2547,104541,104541 - Loeprich
Erena Eastgate,2547,104540,104540 - Fair Oaks
Gerrie Domonkos,2642,104539,104539 - Fisk
Gerrie Domonkos,2642,104538,104538 - Garrison
Erena Eastgate,2547,104537,104537 - Waywood
Erena Eastgate,2547,104536,104536 - Anthes
Marco Jozwicki,2425,104535,104535 - Kedzie
Gerrie Domonkos,2642,104534,104534 - Caliangt
Gerrie Domonkos,2642,104533,104533 - Namekagon
Gerrie Domonkos,2642,104532,104532 - Canary
Erena Eastgate,2547,104532,104532 - Canary
Erena Eastgate,2547,104531,104531 - Cordelia
Erena Eastgate,2547,104530,104530 - Kim
Erena Eastgate,2547,104529,104529 - Anniversary
Gerrie Domonkos,2642,104529,104529 - Anniversary
Erena Eastgate,2547,104528,104528 - Ruskin
Erena Eastgate,2547,104527,104527 - Glendale
Erena Eastgate,2547,104526,104526 - Continental
Marco Jozwicki,2425,104525,104525 - Basil
Erena Eastgate,2547,104524,104524 - David
Erena Eastgate,2547,104523,104523 - Carberry
Erena Eastgate,2547,104522,104522 - Hauk
Gerrie Domonkos,2642,104521,104521 - Harbort
Erena Eastgate,2547,104520,104520 - Green Ridge
Erena Eastgate,2547,104519,104519 - Little Fleur
Erena Eastgate,2547,104518,104518 - Weeping Birch
Gerrie Domonkos,2642,104517,104517 - Rockefeller
Marco Jozwicki,2425,104516,104516 - Parkside
Erena Eastgate,2547,104515,104515 - Dottie
Erena Eastgate,2547,104514,104514 - Melrose
Erena Eastgate,2547,104513,104513 - Warbler
Erena Eastgate,2547,104512,104512 - Charing Cross
Markus Cowlin,2248,104512,104512 - Charing Cross
Elnore Cesaric,2156,104511,104511 - Fisk
Allsun Bittlestone,2389,104511,104511 - Fisk
Ulrick Rust,2085,104510,104510 - Northfield
Tina Calcut,2178,104509,104509 - Fallview
Mattias Neeves,2031,104508,104508 - Fremont
Mattias Neeves,2031,104507,104507 - Bunker Hill
Ulrick Rust,2085,104506,104506 - Golf View
Mattias Neeves,2031,104505,104505 - Bay
Mattias Neeves,2031,104504,104504 - Red Cloud
Mattias Neeves,2031,104503,104503 - Manley
Ulrick Rust,2085,104502,104502 - Maple Wood
Elianore Saturley,2388,104501,104501 - Erie
Mattias Neeves,2031,104500,104500 - Stang
Mattias Neeves,2031,104499,104499 - Warrior
Mattias Neeves,2031,104498,104498 - Sherman
Mattias Neeves,2031,104497,104497 - Messerschmidt
Tina Calcut,2178,104496,104496 - Marquette
Mattias Neeves,2031,104495,104495 - Heath
Tina Calcut,2178,104494,104494 - Erie
Mattias Neeves,2031,104493,104493 - Hermina
Curry Jowett,2386,104492,104492 - Springview
Curry Jowett,2386,104491,104491 - Main
Curry Jowett,2386,104490,104490 - Glacier Hill
Gibby Dash,2119,104490,104490 - Glacier Hill
Chrisy Buscher,2018,104489,104489 - Montana
Gibby Dash,2119,104488,104488 - Autumn Leaf
Curry Jowett,2386,104487,104487 - Lukken
Katherine Baversor,2036,104486,104486 - Bartillon
Elianore Saturley,2388,104485,104485 - Muir
Curry Jowett,2386,104484,104484 - Roth
Gibby Dash,2119,104483,104483 - Carey
Gaye Cisco,2477,104482,104482 - Hallows
Chrisy Buscher,2018,104481,104481 - Di Loreto
Katherine Baversor,2036,104480,104480 - Tennessee
Katherine Baversor,2036,104479,104479 - Reindahl
Eb Shotton,2158,104479,104479 - Reindahl
Gaye Cisco,2477,104478,104478 - Helena
Chrisy Buscher,2018,104477,104477 - Dottie
Chrisy Buscher,2018,104476,104476 - Lakewood
Curry Jowett,2386,104476,104476 - Lakewood
Curry Jowett,2386,104475,104475 - 1st
Chrisy Buscher,2018,104475,104475 - 1st
Elianore Saturley,2388,104474,104474 - Reinke
Curry Jowett,2386,104473,104473 - Transport
Chrisy Buscher,2018,104472,104472 - Blackbird
Curry Jowett,2386,104471,104471 - Grayhawk
Curry Jowett,2386,104470,104470 - Buhler
Ali Freen,2347,104469,104469 - Crescent Oaks
Brady Clark,2261,104468,104468 - Westridge
Haskell Blackall,2328,104467,104467 - Superior
Haskell Blackall,2328,104466,104466 - Summit
Brady Clark,2261,104465,104465 - Arizona
Dunstan Blandamore,2129,104464,104464 - Blue Bill Park
Goldy Durber,2637,104463,104463 - Village Green
Brady Clark,2261,104462,104462 - Pawling
Ali Freen,2347,104461,104461 - Shasta
Patricia Howick,2620,104460,104460 - Anzinger
Brady Clark,2261,104459,104459 - Claremont
Damian Rimes,2194,104458,104458 - Oneill
Jayson Lattin,2004,104458,104458 - Oneill
Quinn Aaronsohn,2212,104457,104457 - Lakeland
Haskell Blackall,2328,104456,104456 - Harper
Haskell Blackall,2328,104455,104455 - Pine View
Burke Kochl,2051,104455,104455 - Pine View
Giavani Filippyev,2399,104454,104454 - Washington
Aristotle McGlashan,2317,104453,104453 - Hovde
Rolf Stainton - Skinn,2589,104452,104452 - Annamark
Fernando Baldazzi,2131,104451,104451 - Melody
Rolf Stainton - Skinn,2589,104450,104450 - 6th
Brady Clark,2261,104449,104449 - Bluestem
Welsh Greenhow,2002,104448,104448 - Calypso
Boony Langham,2593,104447,104447 - Darwin
Dunstan Blandamore,2129,104446,104446 - Coolidge
Brady Clark,2261,104445,104445 - Reinke
Aristotle McGlashan,2317,104444,104444 - Esch
Welsh Greenhow,2002,104443,104443 - Artisan
Flor Jira,2057,104442,104442 - Cordelia
